codigo_missao,timestamp_leitura,altitude_m,velocidade_ms,temperatura_c,pressao_pa,vibracao_g,combustivel_pct,latitude,longitude,status_sensor
AER-001,2026-06-08T12:00:00.000Z,10500.250,248.700,-51.300,26500.000,0.0420,87.500,-23.435601,-46.473201,OK
AER-001,2026-06-08T12:00:01.000Z,10512.800,249.100,-51.350,26480.500,0.0451,87.480,-23.435210,-46.472050,OK
AER-001,2026-06-08T12:00:02.000Z,10525.400,249.600,-51.420,26460.250,0.0438,87.460,-23.434820,-46.470900,OK
AER-001,2026-06-08T12:00:03.000Z,10538.100,250.050,-51.500,26440.000,0.0610,87.440,-23.434430,-46.469750,ALERTA
AER-002,2026-06-08T14:30:00.000Z,320.500,85.200,18.900,97650.000,0.0125,64.300,-23.627800,-46.656500,OK
AER-002,2026-06-08T14:30:01.000Z,355.900,92.400,18.750,97200.000,0.0133,64.270,-23.626100,-46.655200,OK
AER-002,2026-06-08T14:30:02.000Z,402.300,101.800,18.600,96710.000,0.0149,64.240,-23.624300,-46.653800,OK
AER-002,2026-06-08T14:30:03.000Z,455.700,110.500,18.420,96180.000,0.0157,64.210,-23.622400,-46.652300,OK
AER-003,2026-06-08T16:10:00.000Z,11890.000,255.300,-54.100,22100.000,0.0390,42.100,-22.910500,-43.176200,OK
AER-003,2026-06-08T16:10:01.000Z,11902.600,255.700,-54.180,22080.500,0.0402,42.080,-22.910100,-43.175000,OK
